song,artist,artist_id,category,genres
La Nota,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,latin,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']"
Relación - Remix,Sech,77ziqFxp5gaInVrF2lj4ht,latin,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']"
TE MUDASTE,Bad Bunny,4q3ewBCX7sLwd24euuV69X,latin,"['latin', 'reggaeton', 'trap latino']"
BICHOTA,KAROL G,790FomKkXshlbRYZFtlgla,latin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
La Luz,Sech,77ziqFxp5gaInVrF2lj4ht,latin,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']"
Ponte Pa' Mi,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,latin,"['latin', 'reggaeton', 'trap latino']"
La Nota,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,latin,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']"
Un Amor Eterno - Versión Balada,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,latin,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']"
Hoy Tengo Ganas De Ti,Alejandro Fernández,6sq1yF0OZEWA4xoXVKW1L9,latin,"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'regional mexican']"
Corazón partío,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,latin,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']"
Dígale,David Bisbal,5gOJTI4TusSENizxhcG7jB,latin,"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock', 'tropical']"
Completamente Enamorados,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,latin,"['latin', 'latin pop', 'puerto rican pop', 'tropical']"
Blinding Lights (with ROSALÍA) - Remix,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,latin,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Lento,Mr Eazi,4TAoP0f9OuWZUesao43xUW,latin,"['afro dancehall', 'afropop', 'dancehall', 'ghanaian hip hop', 'nigerian pop', 'swedish dancehall']"
Más De La Una,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,latin,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Te Olvidare,TINI,7vXDAI8JwjW531ouMGbfcp,latin,"['latin pop', 'pop argentino']"
No Me Acostumbro,Wisin,3E6xrwgnVfYCrCs0ePERDz,latin,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
s a l u d o s,KORDELYA,3JmbGjGpi55FRnjvjH9ljV,latin,['indie poptimism']
Lotería,Sarah Silva,3k9GPiGAtIAOfnfzzy3XQp,latin,[]
Qué Vas A Hacer?,XAXO,04QAHqsyX2YvreBDLkgpXb,latin,[]
Te bloqueo,Naicok,4MUq2KE0IJoYr6QsfPh1Rv,latin,[]
Vámonos,Nobeat,3TKS1JzWOLAnicuOCOyVlW,latin,['reggaeton colombiano']
Levitating (feat. DaBaby),Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,mood,"['dance pop', 'pop', 'pop dance', 'uk pop']"
The Best Days (feat. Tabitha),Sam Feldt,20gsENnposVs2I4rQ5kvrf,mood,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
Love Not War (The Tampa Beat),Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,mood,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,mood,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Fly Away,Tones And I,2NjfBq1NflQcKSeiDooVjY,mood,['australian pop']
This Will Be (An Everlasting Love),Natalie Cole,5tTsrGPwQRWUsHR2Xf7Ke9,mood,"['adult standards', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Midnight Train to Georgia,Gladys Knight & The Pips,0TF2NxkJZPQoX1H53rEFM1,mood,"['brill building pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
How Long Do I Have to Wait for You?,Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,mood,"['afrobeat', 'classic soul', 'funk', 'neo soul', 'retro soul', 'soul', 'southern soul']"
Are You Ready to Love Me?,The War and Treaty,6HhV0jtMMK5HYnYgG0xgtz,mood,"['funk', 'indie folk', 'new americana']"
Love Train,The O'Jays,38h03gA85YYPeDPd9ER9rT,mood,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'southern soul', 'urban contemporary']"
Garden Song,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,mood,"['art pop', 'indie folk', 'indie pop']"
Ain't No Grave (Sparse),Crooked Still,7LOJ56d8VmOebynlV01KfU,mood,"['banjo', 'bluegrass', 'bluegrass gospel', 'new americana', 'new england americana', 'progressive bluegrass']"
Washed Away,Emily Jane White,2PqsalqLh5RT6FSy9DrGZh,mood,"['freak folk', 'indie folk']"
Farm,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD,mood,"['belgian death metal', 'bubblegrunge', 'indie folk']"
Drawing out the Line,Noah Gundersen,34482S5nfxR441wcnVfrHi,mood,"['acoustic pop', 'alternative roots rock', 'indie anthem-folk', 'indie folk', 'stomp and holler']"
Kiriume,Arden Forest,3LUa5res2UmvZ04kvlPMc7,mood,"['background music', 'background piano', 'focus']"
Beginning,Megan Wofford,3ac7SLoq4Rbms8XZE0rdkA,mood,['background piano']
Morgensol,Bolethe Kristensen,5FdY1HR5TdShBfxywCliMI,mood,[]
Con el tiempo todo se consigue,Claribel Ramón,2R6KwyIVkDBMHj2fNvy6Aq,mood,['background piano']
Mali Lošinj,Valerija Novosel,2s8NO6ERz08oEGHpAWRSMb,mood,['background piano']
Body,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,mood,"['houston rap', 'pop', 'pop rap', 'trap queen']"
Buss It,Erica Banks,2SXhbucehn00OBVKhzxDyM,mood,['trap queen']
Bossa Nova (feat. Tee Grizzley),Kash Doll,3u579Gdap91lMptBSdXTpf,mood,"['detroit hip hop', 'hip pop', 'pop r&b', 'trap queen']"
34+35,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,mood,"['dance pop', 'pop', 'post-teen pop']"
Like That (feat. Gucci Mane),Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,mood,"['dance pop', 'pop']"
Thank God I Found You (feat. Joe & Nas) - Make It Last Remix Edit,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,rnb,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Stutter (feat. Mystikal) - Double Take Remix,Joe,3zTOe1BtyTkwNvYZOxXktX,rnb,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']"
Go On Girl,Ne-Yo,21E3waRsmPlU7jZsS13rcj,rnb,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Stingy,Ginuwine,7r8RF1tN2A4CiGEplkp1oP,rnb,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'southern hip hop', 'urban contemporary']"
That Girl,Marques Houston,1goOx6gnQdUllLfSMsL4Rt,rnb,"['hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
808,Blaque,1nSRa2YjjFWJLHGKM07oGQ,rnb,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
Never Too Busy,Kenny Lattimore,1UjTUqWfGkof4L5HO5NmzP,rnb,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Nobody Else,Tyrese,08p7B5OtcUuVblvkQIlBhJ,rnb,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop r&b', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
It Had to Be You,Silk,3wVllS5itPK6rpHwfvNce4,rnb,"['atl hip hop', 'boy band', 'dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
How Deep Is Your Love,Dru Hill,1255GTUKNCLCTvH9ctD4cT,rnb,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']"
Love On Top,Beyoncé,6vWDO969PvNqNYHIOW5v0m,rnb,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b']"
Adorn,Miguel,360IAlyVv4PCEVjgyMZrxK,rnb,"['dance pop', 'hip hop', 'pop', 'r&b', 'urban contemporary']"
Redbone,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,rnb,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
Don't,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,rnb,"['kentucky hip hop', 'pop', 'pop rap', 'rap', 'trap']"
Best Part (feat. H.E.R.),Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,rnb,"['canadian contemporary r&b', 'pop']"
Slow Down,VanJess,0Ek89uaJyo6NfWK22awFvI,rnb,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']"
You Got It,Vedo,3wVXTWabe3viT0jF7DfjOL,rnb,['pop r&b']
Dead Man Walking,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,rnb,"['dmv rap', 'rap']"
I Like,ROE,07JjZMOwidxS5bcgvilg2y,rnb,"['chill r&b', 'indie r&b']"
Opia,Savannah Ré,3qfqqDpGv4XNfa3G0EfP9s,rnb,"['alternative r&b', 'canadian contemporary r&b', 'indie r&b']"
Don't Waste My Time (feat. Ella Mai),Usher,23zg3TcAtWQy7J6upgbUnj,rnb,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
Gotta Move On,Toni Braxton,3X458ddYA2YcVWuVIGGOYe,rnb,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Caught Up (feat. Khalid),Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,rnb,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'trap soul']"
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,1iNqsUDUraNWrj00bqssQG,rnb,"['hip hop', 'rap', 'underground hip hop']"
Bust Your Windows,Jazmine Sullivan,7gSjFKpVmDgC2MMsnN8CYq,rnb,"['alternative r&b', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'r&b', 'urban contemporary']"
I'm Ready,Jaden,0xOeVMOz2fVg5BJY3N6akT,gaming,"['hip hop', 'rap']"
MEGALOVANIA,Toby Fox,57DlMWmbVIf2ssJ8QBpBau,gaming,['indie game soundtrack']
Little,Jany Green,1Qg99NvQcJaAMmmDl6nPRv,gaming,['modern indie pop']
Unity,TheFatRat,3OKg7YbOIatODzkRIbLJR4,gaming,[]
"No Save Point - From ""Cyberpunk 2077""",Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,gaming,"['escape room', 'hip hop', 'political hip hop']"
B.B. King Freestyle (with Drake),Lil Wayne,55Aa2cqylxrFIXC767Z865,gaming,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Dunya (feat. LukeyWorld),GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,gaming,"['alternative r&b', 'dmv rap', 'hip hop', 'indie soul', 'rap', 'underground hip hop']"
So High,Tm88,5RMUeKq0dZxg9RHE1f0B9P,gaming,"['atl trap', 'vapor trap']"
Wolves (feat. Post Malone),Big Sean,0c173mlxpT3dSFRgMO8XPh,gaming,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Tyler Herro,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,gaming,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Anything You Synthesize - Ambient,The American Dollar,5r4OqYJL7JrtZlffx7FJlb,gaming,"['american post-rock', 'compositional ambient', 'focus', 'instrumental post-rock', 'post-rock']"
Nobody,Hiatus,421vyBBkhgRAOz4cYPvrZJ,gaming,"['chillstep', 'crust punk']"
A Beautiful Mine,RJD2,1O3ZOjqFLEnbpZexcRjocn,gaming,"['alternative hip hop', 'big beat', 'electronica', 'hip hop', 'jazztronica', 'ninja', 'nu jazz', 'turntablism']"
Stop Everything! It's Snowing,Good Weather For An Airstrike,1LcsFT5fwJajcpAqmlitHX,gaming,"['compositional ambient', 'drift']"
Open Eye Signal,Jon Hopkins,7yxi31szvlbwvKq9dYOmFI,gaming,"['ambient', 'chamber psych', 'compositional ambient', 'electronica', 'intelligent dance music', 'neo-classical', 'post-rock']"
Fly with me,millennium parade × ghost in the shell: SAC_2045,4TrqOjik4odYGs0pJpZwVw,gaming,[]
(Theme From) Red Dead Redemption,Bill Elm & Woody Jackson,4bvAYuLthEXwoUpNhCc15S,gaming,"['old west', 'video game music']"
Death Stranding,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,gaming,"['electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'modern rock', 'neo-synthpop', 'shimmer pop']"
Captured,Sami Matar,7ijAT5OUQFiBr68fogQHx1,gaming,['spacewave']
Infinity War,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,gaming,"['scorecore', 'soundtrack']"
Halo,Martin O'Donnell,5oERdzrfb6kmNMzPNINZib,gaming,"['scorecore', 'video game music']"
The Last of Us,Gustavo Santaolalla,4W3fa7tiXGVXl3KilbACqt,gaming,"['argentine ambient', 'latin classical', 'latin soundtrack', 'soundtrack', 'video game music']"
God of War,Bear McCreary,2ifvIECHAlEgPMBuBOJ0lG,gaming,"['epicore', 'scorecore', 'soundtrack', 'video game music']"
Pokémon®,Video Games Live,6dZAVi5PugDwlAnH8KMEGl,gaming,"['scorecore', 'video game music']"
Dragonborn,Jeremy Soule,77yY2QmM6bYvjJ3y5L2R0v,gaming,"['scorecore', 'soundtrack', 'video game music']"
Flow,Michael Brogadaccio,6ZqnKTqzs5B9g2K68OCKVo,focus,[]
Spaces,Gus Cleese,5vCyUIqN5rujUkzGq5iJq2,focus,['background music']
The Tower of Embellion,Muni Yogi,5VMpyeQNlYtPipmkNpxRt0,focus,"['background music', 'focus']"
Quiet Dreams,MVS,2iPiEjvpiyVOYH7JSRgqfW,focus,['background music']
Quasar,Tejal Yann,6eGKvCZdc06HkiwZKFlcBY,focus,['background music']
Remembering,Minette Martin,3wQXisRiLi09Cw9UUSd0cA,focus,[]
Reveries,Ava Cerasoli,2zMMspLbw3KFWxxf8KCQLl,focus,['background piano']
Sea Change,Stephan Moccio,25s9H1JQmTu3iuFzpXWUIg,focus,"['background piano', 'calming instrumental', 'neo-classical']"
All that Glitters,Mino Monterosso,528WOUREknwtSsfI7Nj7Zl,focus,['background music']
Vals De Rodrigues,Eric Badanti,2KnoW7Kuw3lj3OKFK8EXQ7,focus,['background piano']
Stardust,Riccardo Frediani,0jg1uoGTeW156aL6Wx63Ai,focus,[]
May,Mree,3K8cGxW088HVyhFSGWJJcX,focus,['ambient folk']
Oltre - The Shape Of Piano To Come Vol. I,Emiliano Blangero,0ozINzRhAnzU4nRWUGJBcc,focus,[]
Gaia - The Shape Of Piano To Come Vol. I,Angel Ruedinger,0ZSE1rUyVa8VxkuE2VDgYH,focus,[]
Mare di dicembre,Francesco Taskayali,0I44T6QObrCavl5pw09iHB,focus,['rome indie']
Remembering,Ever So Blue,6LwcYWG1molG0KW2xwnPd2,focus,"['background piano', 'calming instrumental', 'focus']"
Rites of Passage,Chris Donner,4xwCgzlPsRwNfHdvlLwCsH,focus,[]
Things Unsaid,Marcos Betancourt,7JjCfmLQHeuWreo08C7hBt,focus,[]
Gouttes,Guilliaume Om,59TontIdB13G6OPjg6m7NN,focus,[]
silbermond,Flavia Cortez,4wMoov0OVG8UOIR6tPnvnV,focus,[]
Young Love,Pamela Goldings,0zz0ZeRODmieOdGKeznHQA,focus,[]
Now and Then,Carluccio,06bxyT4bXPZaKsInaJ75UL,focus,['background piano']
Memories In Red,Fredrik Lundberg,1WFoHIANaCtKQ1jrzPl3C3,focus,[]
Asilah,Sumsar,3IKjg0f073Wk4IecayFzWW,focus,[]
Humbly,Gail Singleton,1VA9HBofA9Pc9Q3DSR4gQw,focus,[]
Regardless,RAYE,5KKpBU5eC2tJDzf0wmlRp2,edm_dance,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk contemporary r&b', 'uk pop']"
Save My Life (feat. Lovespeake),David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,edm_dance,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
Paul Is Dead,Scooter,0HlxL5hisLf59ETEPM3cUA,edm_dance,"['eurodance', 'europop', 'german techno', 'hamburg electronic', 'happy hardcore']"
No Time For Tears,Nathan Dawe,2gduEC76ry33RVurAvT05p,edm_dance,"['house', 'pop dance', 'tropical house', 'uk dance']"
Lovefool (feat. Pia Mia),twocolors,7ACEUD7UsmmXrnj4OLt8f9,edm_dance,['pop edm']
don't be so hard on yourself,dj poolboi,3uL9a8QRwQ6J8Sc7NYK7oJ,edm_dance,[]
All My Days,Forester,3d13oWvwmjcodRr3NzdArc,edm_dance,[]
Her Theme,Lstn,0OO1zgX3CUfJQwoOEBSKSp,edm_dance,"['chill beats', 'chill out', 'tropical house']"
I Can't See,ROW,6t6YsIZkxd0VC7mXKD9Ziw,edm_dance,[]
Ikebana,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,edm_dance,"['deep house', 'deep tropical house', 'new french touch', 'pop dance', 'pop edm', 'tropical house']"
Beirut,Soltan,6wIbmO0mcpIyQ6CFXIJmIy,edm_dance,"['dubstep', 'gaming dubstep']"
Kings,Bailo,3oLbNoZxAYO4KsXmx6PjTC,edm_dance,['electronic trap']
TIKTOK,BLVK JVCK,32IXja3Y6CPvnAtTHD2bWg,edm_dance,[]
Operator Bludgeoning,Chee,18fX4a2lpLLHmvJO2a5NkA,edm_dance,"['downtempo bass', 'dubstep', 'future bass', 'halftime dnb']"
Chicane - Kumarion Remix,QUIX,19EW4WBhl0fvZUQgi7wV5M,edm_dance,"['bass trap', 'dubstep', 'electro house', 'electronic trap', 'vapor twitch']"
Believer (feat. Wynter Gordon) - Radio Edit,Freemasons,49H2dQUNhIlso7VNkS8nFR,edm_dance,"['dance pop', 'disco house', 'diva house', 'europop', 'tribal house', 'vocal house']"
Blue (Da Ba Dee) - Gabry Ponte Video Edit,Eiffel 65,64rxQRJsLgZwHHyWKB8fiF,edm_dance,"['bubblegum dance', 'eurodance', 'europop', 'italian adult pop', 'italo dance']"
Every Word (feat. Daniella) - Wendel Kos Radio Edit,Ercola,09okhKMLoUZYOM6OTzAbNb,edm_dance,[]
Fight For You - Sultan & Ned Shephard Remix Radio Edit,Morgan Page,1N9n8MSxrr4Emhb566493b,edm_dance,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
Infinity - Klaas Vocal Mix,Guru Josh Project,4ME85YvMUi1hdqhbind7gy,edm_dance,['acid house']
Hydra,Rodriguez Jr.,6Th7POyVfZgiHJQ64ddV5Y,edm_dance,"['deep disco house', 'electronica', 'french tech house', 'microhouse', 'minimal tech house', 'minimal techno', 'organic house', 'tech house']"
Home,Solomun,5wJK4kQAkVGjqM9x46KQOC,edm_dance,"['german techno', 'hamburg electronic', 'melodic techno', 'microhouse', 'minimal techno', 'tech house']"
Trapdoor,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,edm_dance,"['deep groove house', 'disco house', 'edm', 'future garage', 'house', 'pop dance', 'progressive house', 'tropical house', 'uk dance']"
Need To Feel Loved - Tinlicker Remix,Reflekt,6TwTAUcCILwoSPY2N3etuY,edm_dance,[]
Enchantment,Nora En Pure,24DO0PijjITGIEWsO8XaPs,edm_dance,"['deep house', 'deep tropical house', 'electra', 'house', 'pop dance', 'progressive house', 'swiss pop', 'tropical house']"
Goosebumps,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,chill,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'rock', 'tropical house']"
Can’t Imagine,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,chill,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
Better Days (feat. Justin Timberlake),Ant Clemons,028lPW2NdWHdSPCkRkcyhd,chill,"['alternative r&b', 'indie r&b']"
Umbrella,Duncan Laurence,3klZnJvYGIbWritVwQD434,chill,['dutch pop']
Angels Like You,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,chill,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
The Screen,Oruam,7hswPtRs02dG03rVj7wQBK,chill,[]
Alabora,Beyhude,65orViGnlMcbptdIGceZzo,chill,"['ethnotronica', 'organic electronic', 'organic house']"
Swim,COLIN,65Uy8U5VKTrqB70p39OLsH,chill,[]
All I Ever Wanted,Misc.Inc,3qRe4C6xUFaW1GXJsRC4oi,chill,"['chillhop', 'lo-fi beats']"
Follow Me,SoN,4UD8MDe0kMu0QPtMUzeaEE,chill,['chill out']
dreamin',53 Thieves,4IwM0dNvhWqqtsTyulxe2K,chill,['chill pop']
I Need U,yaeow,4Abe9XH0fplj8dbOddoYgH,chill,"['lo-fi chill', 'sad rap']"
homebody,Kamal.,2gIHyzlzKxntjQWf8xAGaI,chill,['modern indie pop']
Rain,Lucy Park,2ve69eWi8j7eGKEsKz2WLF,chill,"['chill r&b', 'indie r&b']"
You're All I Want,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,chill,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
don't be so hard on yourself,dj poolboi,3uL9a8QRwQ6J8Sc7NYK7oJ,chill,[]
All My Days,Forester,3d13oWvwmjcodRr3NzdArc,chill,[]
Her Theme,Lstn,0OO1zgX3CUfJQwoOEBSKSp,chill,"['chill beats', 'chill out', 'tropical house']"
I Can't See,ROW,6t6YsIZkxd0VC7mXKD9Ziw,chill,[]
Ikebana,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,chill,"['deep house', 'deep tropical house', 'new french touch', 'pop dance', 'pop edm', 'tropical house']"
900 Miles,Terry Callier,5cHmjJA9Lo0ga8s8QdxEzs,chill,['soul']
Let Him Fly,Patty Griffin,7tNLRmiAN8hpmFrbIHiHsy,chill,"['acoustic pop', 'ectofolk', 'folk', 'indie folk', 'lilith', 'new americana', 'pop rock', 'singer-songwriter', 'traditional folk', ""women's music""]"
Our Town,Iris DeMent,3NPZs8XgXtaWslUcnIw6rY,chill,"['arkansas country', 'country rock', 'folk', 'folk rock', 'lilith', 'roots rock', 'singer-songwriter', 'traditional folk']"
Clay Pigeons,John Prine,0nJUwPwC9Ti4vvuJ0q3MfT,chill,"['alternative country', 'country rock', 'folk', 'folk rock', 'indie folk', 'mellow gold', 'new americana', 'roots rock', 'singer-songwriter', 'traditional folk']"
Ooh La La - 2015 Remaster,Faces,3v4feUQnU3VEUqFrjmtekL,chill,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'glam rock', 'hard rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'pub rock', 'rock', 'roots rock', 'soft rock']"
if we never met (feat. Kelsea Ballerini),John K,73eAAfRkS2Vi4hx68oTJJE,at_home,"['electropop', 'pop', 'post-teen pop']"
Demons,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,at_home,"['modern rock', 'pop', 'rock']"
Youngblood,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,at_home,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
Without Me,Halsey,26VFTg2z8YR0cCuwLzESi2,at_home,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']"
This City,Sam Fischer,6L1XC7NrmgWRlwAeLJvVtA,at_home,"['australian pop', 'pop', 'uk pop']"
(Everything I Do) I Do It For You,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,at_home,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
Another Day in Paradise - 2016 Remaster,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,at_home,"['mellow gold', 'rock drums', 'soft rock']"
All Night Long (All Night) - Single Version,Lionel Richie,3gMaNLQm7D9MornNILzdSl,at_home,"['adult standards', 'disco', 'mellow gold', 'motown', 'quiet storm', 'soft rock']"
Kiss Me,Sixpence None The Richer,0lJlKQvuM2Sd9DPPyUXcHg,at_home,"['lilith', 'neo mellow', 'pop rock']"
The Man Who Can't Be Moved,The Script,3AQRLZ9PuTAozP28Skbq8V,at_home,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
I Follow Rivers,Helion,05GSra7vTwr8o54Brzp2nA,at_home,['melbourne bounce international']
Don't Leave Me Now,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,at_home,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
Unbreakable (feat. Clarence Coffee Jr.),BUNT.,2CpLIMBoE2ZzyY3ZBCRZ7j,at_home,"['deep tropical house', 'pop edm', 'tropical house']"
Hallucinate - Paul Woolford Remix,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,at_home,"['dance pop', 'pop', 'pop dance', 'uk pop']"
You Should Know (feat. Craig Smart),Sam Feldt,20gsENnposVs2I4rQ5kvrf,at_home,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
Prey,Lehiotik,7gKM0lBcb636h4fhAdQ72u,at_home,[]
I Don't Care,aesvec.,2zfutwYGY2KGkV4VCz0uLl,at_home,[]
Crush,braj mahal,2uHJReWme1oJ0jaXD1fiHT,at_home,[]
Wish We Could Stay Like This Forever,ocha,2XXkRPi7NhXPf4vOPIG9zh,at_home,"['chillhop', 'focus beats', 'lo-fi beats']"
Sweet Hangover,Peter Kind,1xMxQQ71TIGQgzH4NY0ECM,at_home,['lo-fi beats']
PAPÁS,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,at_home,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']"
Tattoo - Remix with Camilo,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,at_home,"['puerto rican pop', 'trap latino']"
Caramelo,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,at_home,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
my future,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,at_home,"['electropop', 'pop']"
Intentions (feat. Quavo),Justin Bieber,1uNFoZAHBGtllmzznpCI3s,at_home,"['canadian pop', 'pop', 'post-teen pop']"
you should see me in a crown,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,indie_alt,"['electropop', 'pop']"
Youth,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,indie_alt,"['gauze pop', 'indietronica', 'modern rock', 'shiver pop']"
We Appreciate Power,Grimes,053q0ukIDRgzwTr4vNSwab,indie_alt,"['art pop', 'canadian electropop', 'chillwave', 'dance pop', 'electropop', 'escape room', 'grave wave', 'hyperpop', 'indietronica', 'metropopolis', 'pop']"
Motion Sickness,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,indie_alt,"['art pop', 'indie folk', 'indie pop']"
